Accession Number,Author,Title,Edition,Volume,Pages,Publisher,Year,ISBN
FIC 000001,Erin Bow,Plain Kate,,,"314",Scholastic Inc.,2012,978-0-545-16665-2
FIC 000002,Andrew Sean Greer,Less,,,"272",Lee Boudreaux Books,2017,978-0-316-31612-5
FIC 000003,Han Kang,Greek Lessons,,,"192",Hogarth,2011,978-0593595275
FIC 000004,J.K. Rowling,Harry Potter and the Sorcerer's Stone,,,"320",Scholastic Inc.,1997,978-0590353427
FIC 000005,J.K. Rowling,Harry Potter and the Chamber of Secrets,,,"352",Scholastic Inc.,1998,978-1338878936
FIC 000006,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,,,"435",Scholastic Inc.,1999,978-0439136358
FIC 000007,Gege Akutami,Jujutsu Kaisen Vol. 4,,4,199,Shueisha's Weekly Shōnen Jump,2020,978-1-9747-2025-5
FIC 000008,Julia Quinn,An Offer from a Gentleman: Bridgerton,,,480,Avon Books,2021,9780063138643
FIC 000009,Alison Davies,Be More Cat: Life Lessons from Our Feline Friends,,,142,Quadrille,2017,9781849499521
FIC 000010,Tatsuya Endo,Spy x Family Vol. 5,1st,5,200,Shueisha,2021,978-1974718160
